,code,occupation,tasks,score
1321,2826,Religious Professionals,Preparing and delivering religious sermons and preaching,0.3
1322,2826,Religious Professionals,"Conducting religious classes and leading prayers and supervising discussions, groups, retreats and seminars",0.2
1323,2826,Religious Professionals,Enhancing knowledge and coordinating work performance.,0.2
1324,2831,Authors And Related Writers,Writing literary works for publication or dramatic performance,0.6
1325,2831,Authors And Related Writers,"Writing scripts and continuities and preparing programmes for stage, film, radio and television productions",0.65
1326,2831,Authors And Related Writers,"Appraising and writing about literary, musical and other works of art and artistic performances",0.65
1327,2831,Authors And Related Writers,Writing advertising copy promoting a particular product or service,0.85
1328,2831,Authors And Related Writers,"Selecting, assembling and preparing publicity materials about business or other organisations for issue through the press, radio, television and other media",0.75
1329,2831,Authors And Related Writers,"Designing and writing brochures, handbooks and similar technical publications",0.75
1330,2831,Authors And Related Writers,Responsible for information services including social library management publishing and documentation systems,0.65
1331,2831,Authors And Related Writers,Enhancing knowledge and coordinating work performance,0.65
1332,2832,Journalists,Issuing news reports every day from procured sources for the customer to be made available to the community,0.75
1333,2832,Journalists,"Collecting local, national and international news through interviews, investigation and observation, attending public events, seeking out records, reviewing written work, attending film screenings and stage performances",0.4
1334,2832,Journalists,"Collecting, reporting and commenting on news and current affairs for publication in newspapers and periodicals or for broadcast by radio or television",0.65
1335,2832,Journalists,"Interviewing politicians and other public figures at press conferences and on other occasions, including individual interviews recorded for radio or television",0.3
1336,2832,Journalists,"Writing editorials and selecting, revising, arranging and editing submitted articles for publication and broadcasting",0.65
1337,2832,Journalists,Writing advertising copy promoting a particular product or service,0.75
1338,2832,Journalists,"Selecting, assembling and preparing publicity materials about business or other organisations for issue through the press, radio, television and other media",0.75
1339,2832,Journalists,"Writing critical reviews of literary, musical and other artistic works based on knowledge, judgement and experience for newspapers, television, radio and other media",0.65
1340,2832,Journalists,Enhancing knowledge and coordinating work performance,0.65
1341,2833,"Translators, Interpreters And Other Linguists","Studying the relationships between ancient parent languages and modern language groups, tracing the origin and evolution of words, grammar and language forms and presenting findings",0.45
1342,2833,"Translators, Interpreters And Other Linguists","Advising on or preparing language classification systems, grammars, dictionaries and similar matters",0.75
1343,2833,"Translators, Interpreters And Other Linguists","Translating from one language into another and ensuring that the correct meaning of the original is retained, that legal, technical or scientific texts are correctly rendered and that the phraseology, terminology, spirit and style are conveyed as far as possible",0.75
1344,2833,"Translators, Interpreters And Other Linguists","Interpreting from one language into another, in particular at conferences, meetings and similar occasions, and ensuring that the correct meaning and, as far as possible, the spirit of the original are transmitted",0.65
